English	Svenska
yard	0.9144 m
kilowatt	1 000 watt
gross	12 dussin
day	24 timmar
quarter	25 cent
hour	60 minuter
diamond anniversary	60-års dag
diamond jubilee	60-års jubileum
diamond wedding	60-års jubileum
A	a
A	A
at	à
à la	à la
Inc.	AB
Ltd.	AB
abbé	abbé
abbess	abbedissa
Mother	abbedissa
perch	abborre
abbot	abbot
ABC	abc
primer	abc-bok
abdicate	abdikera
abdication	abdikering
abdomen	abdomen
abdominal	abdominal
anneal	abducera
but	aber
abnormal	abnorm
anomaly	abnormitet
abnormally	abnormt
abolitionist	abolitionist
subscription	abonnemang
subscriber	abonnent
subscribe	abonnera
hire	abonnera
abortion	abort
abracadabra	abrakadabra
abrupt	abrupt
abort	abryta
definitely	absolut
sure	absolut
strongly	absolut
definite	absolut
quite	absolut
flatly	absolut
flat	absolut
assuredly	absolut
utter	absolut
plenary	absolut
complete	absolut
dead	absolut
absolute	absolut
cold	absolut
absolutely	absolut
deadly	absolut
essential	absolut nödvändig
gospel	absolut sanning
absolution	absolution
temperance	absolutism
absolutism	absolutism
teetotaller	absolutist
teetotaler	absolutist
soak	absorbera
assimilate	absorbera
absorb	absorbera
absorption	absorbering
absorption	absorption
abstinence	abstinens
abstract	abstrahera
abstract	abstrakt
abstract	abstrakt begrepp
abstraction	abstrakt begrepp
abstraction	abstrakt konstverk
abstract	abstrakt konstverk
abstraction	abstraktion
absurd	absurd
grotesque	absurd
ridiculous	absurd
preposterous	absurd
absurdity	absurditet
ridiculously	absurt
abyssal	abyssal
cashew	acajounöt
cashew	acajouträd
pick-up	accelerationsförmåga
accelerator	accelerator
accelerate	accelerera
accelerometer	accelerometer
accent	accent
stress	accent
accent	accenttecken
diacritical marks	Accenttecken
accentuate	accentuera
accent	accentuera
acceptance	accept
acceptable	acceptabel
all right	acceptabel
all right	acceptabel men inte särskilt bra
all right	acceptabelt
acknowledge	acceptera
buy	acceptera
face	acceptera
approve	acceptera
accept	acceptera
accept	acceptera en person
go	accepteras
access	access
accessory	accessoar
excise	accis
acetone	aceton
o	ack
acclamation	acklamation
naturalise	acklimatisera
naturalize	acklimatisera
season	acklimatisera
acclimatize	acklimatisera
naturalise	acklimatisera sig
acclimatize	acklimatisera sig
naturalize	acklimatisera sig
season	acklimatiseras
acclimatization	acklimatisering
accompanist	ackompanjatris
accompanist	ackompanjatör
accompaniment	ackompanjemang
backing	ackompanjemang
back	ackompanjera
accompany	ackompanjera
contract	ackord
piece	ackord
chord	ackord
compromise	ackordera
piecework	ackordsarbete
accredit	ackreditera
accumulation	ackumulation
accumulate	ackumulera
back up	ackumuleras
accumulate	ackumuleras
accumulation	ackumulering
accuracy	ackuratess
accusative	ackusativ
accusative	ackusativ-
canvass	ackvirera kunder
canvass	ackvisition
acne	acne
adaptation	adaptation
adapter	adapter
adapt	adaptera
adaptation	adaption
ADP	ADB
computer studies	ADB-studier
add	addera
cast	addera ihop
addition	addition
adequate	adekvat
aristocracy	adel
nobility	adel
nobility	adelskap
peer	adelsman
nobility	adelsstånd
aristocracy	adelsvälde
adenoids	adenoida vegetationer
novice	adept
eighteen	aderton
adiabatic	adiabatisk
adjective	adjektiv
acting	adjungerad
co-opted member	adjungerad ledamot
junior subject teacher	adjunkt
adjutant	adjutant
good-bye	adjö
farewell	adjö
good day	adjö
goodbye	adjö
bye-bye	adjö
knight	adla
noble	adlig
titled	adlig
nobility	adlig börd
administration	administration
liquidation	administration
administrative	administrativ
administrator	administratör
administer	administrera
administration	administrering
adopt	adoptera
adoption	adoptering
adoption	adoption
adoptive	adoptiv-
adopted	adoptiv-
adrenaline	adrenalin
address	adress
addressee	adressat
address	adressera
direct	adressera
directory	adressförteckning
label	adresslapp
ADSL	ADSL
adsorb	adsorbera
astringent	adstringerande
Advent	advent
adverb	adverb
adverbial	adverbial
adverbial	adverbiell
barrister	advokat
brief	advokat
councelor	advokat
lawyer	advokat
attorney	advokat
counsel	advokat
advocate	advokat
att.	advokat
counsellor	advokat
well	advokaternas plats i rättsal
band	advokats ämbetskrage
aero-	aero-
aerobics	aerobics
aerodynamics	aerodynamik
aerodynamic	aerodynamisk
aerogramme	aerogram
aerogram	aerogram
aeronautics	aeronautik
aphasia	afasi
passion	affekt
emotion	affekt
affect	affektera
affected	affekterad
affection	affektion
affidavit	affidavit
bill	affisch
plate	affisch
card	affisch
poster	affisch
placard	affisch
bill	affischera
post	affischera
billing	affischering
poster	affischuppsättare
transaction	affär
store	affär
parlour	affär
deal	affär
case	affär
matter	affär
concern	affär
shop	affär
affair	affär
business	affär
parlor	affär
patisserie	affär där man säljer bakverk
chip shop	affär där man säljer fish and chips
chippie	affär där man säljer fish and chips
chippy	affär där man säljer fish and chips
junk shop	affär för begagnade prylar
dealings	affärer
affairs	affärer
business	affärer
trade	affärer
commercial	affärs-
merchant bank	affärsbank
